363,974
307,210
542,323
238,474
251,668
184,693
279,48
96,310
393,809
981,859
137,289
632,274
963,844
398,724
87,650
373,567
683,987
956,426
16,558
247,910
762,49
157,758
774,902
221,812
264,733
456,195
143,524
543,599
421,216
120,595
699,526
545,69
360,401
877,27
788,890
354,988
817,116
935,628
391,670
797,795
729,920
640,560
680,451
479,397
575,201
209,486
628,607
956,696
337,228
7,646
459,2
163,810
526,640
683,368
870,144
546,403
978,991
198,908
367,32
999,50
440,800
831,741
388,682
891,251
280,330
488,154
195,270
712,540
598,606
671,368
988,923
922,941
478,403
879,749
496,153
744,112
38,905
471,368
74,524
630,441
305,93
302,894
399,943
194,9
639,704
184,932
266,362
982,606
271,864
344,567
634,681
687,593
649,253
601,326
50,494
973,228
824,775
733,837
37,354
531,743
717,933
152,466
989,170
428,952
631,936
324,717
798,983
634,416
502,68
139,235
46,583
63,521
936,920
575,226
973,174
38,795
831,459
824,693
88,768
300,552
237,143
189,113
100,932
868,798
635,594
650,664
214,598
863,622
418,861
52,353
879,737
652,883
965,310
309,214
223,518
784,871
417,412
589,146
723,893
701,35
844,568
223,160
775,44
101,358
160,603
883,425
499,161
739,922
139,18
387,314
700,20
831,842
94,652
432,288
784,887
533,25
143,52
642,343
189,424
793,39
177,19
353,731
905,243
858,664
441,712
195,765
359,972
214,820
190,804
332,666
121,100
568,428
299,223
242,47
210,273
425,380
304,733
732,620
726,31
151,768
166,611
954,28
181,814
65,601
676,699
547,68
784,210
750,841
81,282
803,881
806,803
124,501
924,891
11,51
15,205
957,193
345,474
749,535
293,582
651,534
866,57
250,397
366,6
449,529
228,700
985,70
400,505
614,383
229,743
980,592
244,47
432,136
577,31
435,441
463,947
503,708
550,673
591,773
964,280
795,503
657,780
392,432
684,21
897,696
284,235
352,159
980,196
627,467
311,438
417,459
668,865
73,813
583,822
644,812
782,604
384,765
589,96
180,861
845,173
845,411
961,279
259,252
954,748
522,91
467,380
513,720
56,712
259,630
865,715
78,451
973,859
914,9
661,746
991,262
212,321
101,460
867,729
119,202
757,238
914,133
824,286
623,442
460,414
774,645
12,127
985,625
107,973
293,152
781,161
868,128
559,801
202,846
600,957
684,998
723,432
485,518
48,246
997,532
449,877
19,399
213,581
746,923
682,253
132,528
384,14
743,568
501,858
744,99
742,155
106,279
293,873
24,539
984,464
569,277
964,427
871,456
129,126
184,385
370,349
91,678
893,400
620,359
827,872
913,461
947,215
54,295
879,281
106,262
831,328
769,339
616,320
802,310
360,328
419,570
867,937
394,141
409,318
924,134
498,506
425,71
597,458
711,855
795,498
773,554
41,510
87,598
175,319
540,202
217,543
744,22
895,749
89,660
602,154
863,131
431,595
353,309
675,984
608,988
795,473
741,331
86,800
957,24
301,732
550,161
246,473
444,142
864,365
86,141
377,222
723,942
7,758
309,746
278,200
285,863
562,939
176,635
804,861
83,615
225,216
126,101
115,508
526,56
983,261
120,494
844,887
362,649
860,454
641,456
680,795
615,47
164,546
362,611
988,879
793,977
180,977
650,960
126,38
691,993
807,183
598,303
261,676
859,361
575,974
689,411
220,253
580,348
312,291
811,784
111,750
262,914
912,50
266,671
198,55
639,758
778,355
671,952
49,99
716,339
809,820
817,469
298,722
966,895
280,502
662,666
144,933
46,58
230,718
896,471
369,519
104,644
650,245
194,733
758,991
433,514
354,478
730,407
4,496
805,37
88,378
686,789
492,312
282,80
319,810
790,584
675,258
179,413
981,563
522,474
777,123
815,110
476,634
409,191
961,701
261,730
516,261
63,590
361,903
293,942
568,142
725,32
353,931
452,478
465,609
527,755
175015740
112272912
